"기준_년분기_코드","행정동_코드","행정동_코드_명","월_평균_소득_금액","소득_구간_코드","지출_총금액","식료품_지출_총금액","의류_신발_지출_총금액","생활용품_지출_총금액","의료비_지출_총금액","교통_지출_총금액","교육_지출_총금액","유흥_지출_총금액","여가_문화_지출_총금액","기타_지출_총금액","음식_지출_총금액"
"20231","11740690","둔촌1동","3596734","07","26729000","1284000","1120000","0","0","0","5190000","0","10296000","1461000","7378000"
"20231","11230710","회기동","3217279","07","10439140000","817396000","68577000","11254000","6284650000","1964000","89128000","289833000","473918000","179814000","2222606000"
"20231","11260540","면목4동","2573570","06","994173000","431112000","10293000","34709000","86427000","11769000","57321000","55520000","55661000","40423000","210938000"
"20231","11260550","면목5동","2233073","05","2403610000","294594000","12652000","32159000","76648000","1621534000","41254000","23038000","79017000","23241000","199473000"
"20231","11260580","상봉1동","2969913","06","3746001000","1886486000","46137000","45326000","639105000","31898000","96173000","18050000","74306000","120619000","787901000"
"20231","11260660","망우3동","2231082","05","1103282000","409602000","24391000","4519000","123130000","67092000","28125000","17581000","63645000","31031000","334166000"
"20231","11260690","신내2동","3060535","07","3838623000","1806814000","48213000","28398000","288189000","39887000","533102000","66391000","206409000","171791000","649429000"
"20231","11290640","정릉3동","2482564","06","2122494000","756672000","12637000","17899000","83933000","105919000","150561000","86590000","131911000","52179000","724193000"
"20231","11305535","미아동","2318870","05","5502905000","925899000","258749000","88712000","1745192000","270348000","81603000","218047000","271507000","271609000","1371239000"
"20231","11305625","수유2동","2577008","06","2191966000","715609000","31753000","34600000","244000000","88069000","79014000","82794000","207543000","63374000","645210000"
"20231","11305635","수유3동","2205999","05","11342761000","1620851000","280806000","116213000","1411187000","683700000","45029000","1452862000","754704000","373664000","4603745000"
"20231","11320511","창1동","3038009","07","3344467000","889148000","42218000","26008000","699013000","112970000","78171000","88451000","196128000","220316000","992044000"
"20231","11320522","도봉2동","2811820","06","2521481000","941702000","125765000","8833000","214445000","181201000","103370000","62596000","233570000","74413000","575586000"
"20231","11350670","상계5동","2481440","06","2512152000","1047683000","55256000","31179000","166296000","46292000","141613000","84819000","153593000","135878000","649543000"
"20231","11350720","상계10동","3132098","07","985226000","332802000","27554000","64553000","161031000","11345000","62506000","4749000","92875000","54107000","173704000"
"20231","11380560","구산동","2602334","06","2592359000","871195000","40338000","37370000","582927000","91493000","355782000","21181000","70543000","67838000","453692000"
"20231","11380600","응암3동","2360910","05","6758633000","2520375000","225501000","46277000","732890000","327338000","150407000","516060000","234198000","196822000","1808765000"
"20231","11410555","북아현동","4172659","08","2277814000","1005827000","39988000","131781000","271978000","14269000","110594000","38019000","118995000","143987000","402376000"
"20231","11440610","염리동","4051438","08","48669508000","311761000","26771000","17998000","88467000","458201000","217504000","44955000","46252657000","50686000","1200508000"
"20231","11440690","망원1동","2802536","06","7256765000","2183537000","147603000","116010000","637592000","60380000","76217000","287630000","359790000","186804000","3201202000"
"20231","11440720","성산1동","2814646","06","3918421000","931719000","20572000","199779000","431077000","613353000","211976000","90288000","342712000","65023000","1011922000"
"20231","11500560","화곡3동","3132782","07","4346232000","851285000","56213000","26526000","968199000","19281000","305567000","223913000","315321000","168222000","1411705000"
"20231","11530510","신도림동","4380318","08","10542282000","1175750000","53191000","24606000","1137091000","96694000","575231000","225061000","4693795000","359011000","2201852000"
"20231","11530730","고척2동","2882639","06","2866875000","1093712000","52649000","59297000","628755000","73532000","145932000","69915000","150452000","63249000","529382000"
"20231","11110530","사직동","5007768","09","56096531000","1708620000","517396000","11879000","1559055000","2372877000","169757000","410183000","1713663000","41400076000","6233025000"
"20231","11110615","종로1?2?3?4가동","3245251","07","202555088000","5185773000","1872928000","1072307000","6972123000","5218245000","1548222000","2833887000","118695476000","39235465000","19920662000"
"20231","11140615","신당동","2816850","06","5345639000","852181000","447638000","87168000","715159000","336695000","58843000","178243000","305943000","155454000","2208315000"
"20231","11140680","중림동","4435938","08","2620215000","374750000","51462000","45114000","364387000","27703000","63675000","54212000","611461000","46758000","980693000"
"20231","11170555","청파동","2608804","06","2974519000","682238000","27484000","23438000","311542000","78180000","56030000","67843000","213264000","173515000","1340985000"
"20231","11170690","서빙고동","4208562","08","2023942000","406554000","16053000","21482000","77975000","117940000","142659000","0","610470000","23367000","607442000"
"20231","11200535","왕십리도선동","4015131","08","8034134000","1505445000","266620000","73861000","1913552000","334306000","318634000","292457000","449233000","511447000","2368579000"
"20231","11200540","마장동","3021967","07","5305404000","2538515000","8618000","22907000","161482000","890049000","88371000","72977000","121223000","360653000","1040609000"
"20231","11200645","옥수동","4836487","08","3749694000","1367912000","122036000","1611000","585189000","59500000","266224000","47162000","236844000","191145000","872071000"
"20231","11215750","중곡2동","2555101","06","3686317000","867717000","84436000","78680000","636567000","103835000","165741000","115018000","341814000","130397000","1162112000"
"20231","11215810","광장동","5284540","09","4883953000","1771584000","70548000","15486000","351079000","301921000","469371000","50667000","324579000","192213000","1336505000"
"20231","11215820","자양1동","2745988","06","5293582000","1759419000","228583000","41457000","900624000","99909000","192404000","126038000","270803000","216891000","1457454000"
"20231","11230650","장안1동","2863708","06","11531951000","2842397000","207658000","186008000","2255214000","1023293000","236987000","423064000","881078000","395613000","3080639000"
"20231","11230660","장안2동","2920490","06","9591295000","3038899000","195260000","169919000","1354759000","141557000","950904000","422857000","426256000","213543000","2677341000"
"20231","11230705","청량리동","2860315","06","4404739000","906688000","96640000","71459000","1083046000","594345000","79065000","132730000","206331000","146404000","1088031000"
"20231","11545680","시흥2동","3181421","07","692435000","404036000","23673000","6828000","38021000","0","85687000","9629000","12012000","45275000","67274000"
"20231","11560660","신길4동","2717791","06","1079082000","483914000","9912000","15588000","212457000","4378000","66905000","21786000","21980000","54375000","187787000"
"20231","11560720","대림3동","2907933","06","7754480000","1091245000","37785000","222291000","2010653000","1830665000","115206000","305895000","324433000","141255000","1675052000"
"20231","11590670","신대방1동","3845094","08","2753434000","921802000","62573000","1972000","306770000","224399000","142141000","81823000","296106000","152958000","562890000"
"20231","11620545","청림동","3682775","07","1301897000","820553000","6395000","1577000","55247000","3055000","108257000","22362000","122677000","30250000","131524000"
"20231","11620595","청룡동","2768161","06","9074199000","2274246000","515498000","252155000","1891331000","22384000","437399000","299864000","801382000","618454000","1961486000"
"20231","11620615","중앙동","2633493","06","5991513000","1751697000","81939000","62294000","1417135000","31116000","503134000","190258000","342368000","211944000","1399628000"
"20231","11620625","인헌동","2783693","06","4253268000","1247697000","62441000","10439000","614662000","645146000","78796000","106054000","269291000","112560000","1106182000"
"20231","11620735","대학동","2622408","06","7140139000","2944265000","38238000","11172000","802816000","6850000","268165000","272230000","434749000","241382000","2120272000"
"20231","11650651","양재1동","4173236","08","11273080000","1856347000","229245000","57996000","2704551000","412952000","918641000","306934000","732447000","780525000","3273442000"
"20231","11680531","논현2동","3973993","08","26050217000","4322798000","1154590000","504099000","6655950000","932774000","593699000","1018827000","2565562000","2471866000","5830052000"
"20231","11680565","청담동","5010204","09","34529126000","2688413000","3597611000","578380000","9263128000","845716000","369411000","1021462000","4076873000","5289543000","6798589000"
"20231","11680730","일원1동","3022931","07","2336654000","450735000","25620000","18131000","522939000","163245000","52158000","86302000","160085000","69675000","787764000"
"20231","11710531","거여1동","2789100","06","1819820000","513591000","14829000","67425000","271566000","81707000","107340000","128663000","98109000","99911000","436679000"
"20231","11710600","석촌동","2927911","06","10692544000","2809946000","213323000","306322000","1778336000","812874000","522795000","333047000","676242000","499983000","2739676000"
"20231","11710631","가락1동","4973588","09","5828120000","3321695000","54661000","187815000","786080000","4992000","140051000","23563000","237044000","407023000","665196000"
"20231","11710632","가락2동","3910198","08","6414780000","1814141000","43644000","46759000","1370940000","373108000","495549000","112031000","294442000","356730000","1507436000"
"20231","11710680","잠실3동","5452682","09","9284547000","1124051000","289261000","151638000","928595000","0","293411000","194925000","5394674000","406884000","501108000"
"20231","11740560","고덕2동","2465499","06","2766067000","907950000","26040000","70031000","674796000","30658000","302154000","22860000","120559000","95357000","515662000"
"20231","11740580","암사2동","3688535","07","2813845000","609812000","28339000","11163000","526316000","113580000","211824000","26962000","304883000","117422000","863544000"
"20231","11740620","천호3동","3165328","07","5074752000","890854000","175632000","22749000","1465221000","30108000","91755000","282429000","287725000","385374000","1442905000"
"20231","11140540","회현동","4442451","08","538886118000","27038474000","966109000","1391669000","3080510000","366740499000","44028000","125375000","118708468000","18309322000","2481664000"
"20231","11140670","황학동","3247840","07","3985411000","1056276000","48820000","361898000","611289000","59287000","20235000","102103000","314885000","102584000","1308034000"
"20231","11170510","후암동","3013677","07","1939320000","758610000","48941000","9993000","82027000","38631000","68035000","30702000","156310000","51429000","694642000"
"20231","11170625","한강로동","4948344","09","28616247000","3010174000","217651000","6685918000","1559326000","653921000","224838000","639016000","4019760000","1060236000","10545407000"
"20231","11200570","행당2동","4408744","08","1514730000","540312000","20226000","0","244503000","0","237508000","10686000","106698000","66940000","287857000"
"20231","11200650","성수1가1동","3870717","08","3332389000","730432000","168769000","69693000","291366000","241292000","146328000","98470000","319864000","152239000","1113936000"
"20231","11230560","전농1동","3070695","07","6011533000","1593479000","157345000","38675000","1114917000","712900000","200649000","172513000","214461000","212635000","1593959000"
"20231","11230720","휘경1동","2722774","06","3806066000","1252544000","25150000","225663000","481925000","52877000","86058000","71297000","302612000","302731000","1005209000"
"20231","11290525","성북동","3470748","07","3002517000","812562000","145394000","107486000","249605000","8314000","195668000","15390000","152838000","156874000","1158386000"
"20231","11290580","돈암1동","3583117","07","1044550000","313972000","17045000","1682000","187601000","8115000","130428000","0","37826000","77372000","270509000"
"20231","11290590","돈암2동","4297592","08","811134000","289403000","16509000","0","77568000","0","161103000","4133000","53944000","120185000","88289000"
"20231","11290620","정릉1동","3341356","07","1585318000","518444000","3918000","27044000","165369000","161307000","133722000","32526000","87373000","58753000","396862000"
"20231","11290715","월곡1동","3294213","07","3138934000","751767000","29635000","368384000","451546000","563564000","182158000","44701000","149522000","101335000","496322000"
"20231","11305595","번1동","2303972","05","6666987000","939362000","156278000","59020000","1858185000","258988000","171038000","229398000","750968000","571208000","1672542000"
"20231","11350611","하계1동","3611061","07","6532600000","3689111000","20184000","3785000","754844000","172565000","274596000","21412000","223824000","234642000","1137637000"
"20231","11350612","하계2동","3625940","07","676070000","337606000","11690000","6720000","8587000","3659000","152104000","4923000","9460000","19153000","122168000"
"20231","11380625","역촌동","2521877","06","6736221000","2157801000","295643000","170032000","1154308000","204915000","350281000","205002000","302169000","311291000","1584779000"
"20231","11380640","증산동","2838450","06","2711985000","633051000","56666000","123579000","278265000","757274000","129574000","27944000","181590000","46853000","477189000"
"20231","11410520","천연동","4197718","08","2395071000","1134693000","41018000","13659000","185947000","20922000","120907000","43493000","84638000","43662000","706132000"
"20231","11410565","충현동","3210231","07","3480500000","744478000","45322000","23218000","404265000","33573000","75711000","86215000","413154000","144545000","1510019000"
"20231","11410585","신촌동","3331768","07","22377743000","2965993000","412105000","43434000","5650525000","323982000","934170000","1084376000","1502908000","1522263000","7937987000"
"20231","11410690","남가좌1동","4622839","08","3162973000","922621000","74625000","200000","1195622000","11471000","76293000","79016000","141928000","164922000","496275000"
"20231","11410720","북가좌2동","2590646","06","3628231000","1099615000","24163000","116808000","461850000","31449000","274431000","139351000","222092000","126938000","1131534000"
"20231","11440555","아현동","5237419","09","822313718000","2051576000","87260000","47263000","1376115000","28007000","275530000","51724000","816720017000","449214000","1227012000"
"20231","11440655","서강동","4339738","08","5603449000","1454695000","250187000","28602000","206260000","292935000","463494000","262863000","424538000","317439000","1902436000"
"20231","11440730","성산2동","3521472","07","7678270000","4851138000","47456000","19518000","285068000","259048000","332596000","66537000","368240000","572584000","876085000"
"20231","11470560","신월1동","2227154","05","3588560000","1926440000","63424000","109602000","295128000","69633000","58981000","150355000","134670000","62659000","717668000"
"20231","11500540","화곡1동","2485455","06","10944792000","2907301000","281070000","137478000","1768858000","316652000","224985000","942376000","1023720000","366823000","2975529000"
"20231","11500630","방화1동","3407916","07","7041339000","2018426000","77329000","47513000","1102512000","484004000","699288000","140819000","525787000","289351000","1656310000"
"20231","11500641","방화3동","3044446","07","1670758000","785221000","2865000","7831000","185678000","18692000","46444000","36591000","191045000","90439000","305952000"
"20231","11530520","구로1동","3368067","07","1823316000","703714000","15695000","11605000","278827000","15579000","235140000","31877000","110024000","104501000","316354000"
"20231","11530530","구로2동","2453690","06","12841405000","1243608000","60392000","625979000","8429766000","395421000","45747000","164930000","354472000","80656000","1440434000"
"20231","11530560","구로5동","3213284","07","15105909000","5661507000","136366000","734084000","2541104000","78208000","181084000","479140000","1155920000","866611000","3271885000"
"20231","11530750","개봉2동","3068971","07","3208465000","975463000","38718000","63896000","702552000","17404000","246374000","120128000","94423000","142358000","807149000"
"20231","11530760","개봉3동","2512790","06","2910721000","1549622000","52502000","66126000","211910000","204176000","70726000","68063000","91287000","88694000","507615000"
"20231","11545690","시흥3동","2516251","06","1697649000","403257000","8157000","53421000","80586000","755201000","23459000","47947000","33666000","31346000","260609000"
"20231","11560610","양평1동","3508250","07","4155046000","772426000","18444000","34547000","615576000","1006151000","127794000","38586000","297474000","146059000","1097989000"
"20231","11590651","사당5동","3047661","07","778464000","272429000","10970000","18925000","31180000","24277000","80424000","17666000","49936000","22921000","249736000"
"20231","11620585","낙성대동","3225725","07","9350790000","972362000","78183000","21905000","1577576000","239131000","53004000","620818000","361819000","386899000","5039093000"
"20231","11620605","은천동","3063077","07","5962719000","2395201000","61843000","412415000","428293000","346289000","237940000","95973000","253411000","215234000","1516120000"
"20231","11620725","조원동","2523192","06","5453169000","946181000","66210000","126571000","847687000","75410000","65210000","527988000","358980000","581105000","1857827000"
"20231","11650560","반포1동","5338302","09","8087327000","1045380000","51258000","40215000","3464338000","483195000","424735000","154018000","810125000","320614000","1293449000"
"20231","11650610","방배2동","3864301","08","78231323000","1179828000","60980000","48426000","505933000","212612000","500246000","413567000","70437836000","241481000","4630414000"
"20231","11680590","삼성2동","5055114","09","17149925000","2853619000","988401000","912810000","3174913000","305651000","3970863000","378141000","1125365000","892100000","2548062000"
"20231","11680610","대치2동","6017362","09","28293405000","2146298000","7775545000","420551000","4275829000","372387000","5199975000","227922000","3741186000","725689000","3408023000"
"20231","11680640","역삼1동","3607265","07","1318560393000","7711306000","3281088000","3309548000","34569324000","615535000","4973427000","2891555000","1083345459000","157011802000","20851349000"
"20231","11710540","마천1동","2435636","05","1466283000","730185000","30397000","31093000","207908000","34994000","67311000","45081000","36130000","25365000","257819000"
"20231","11710561","방이1동","3970520","08","5451774000","499888000","63160000","3287000","806209000","204597000","1922717000","140207000","145340000","201101000","1465268000"
"20231","11710580","송파1동","3129216","07","10313589000","1937935000","142469000","159166000","1713162000","142749000","283201000","288382000","644898000","499859000","4501768000"
"20231","11710710","잠실6동","5237775","09","25720717000","3062846000","291317000","98039000","5569108000","303121000","147748000","39864000","11853722000","862914000","3492038000"
"20231","11740590","암사3동","4470889","08","1536132000","469727000","35004000","61288000","114073000","7156000","409762000","0","130818000","66263000","242041000"
"20231","11110650","혜화동","3333112","07","9834747000","1718992000","195922000","59183000","1728563000","31269000","248028000","550860000","623853000","434555000","4243522000"
"20231","11140635","약수동","3894878","08","2540296000","992367000","17601000","2201000","466051000","5896000","58575000","62073000","227068000","100591000","607873000"
"20231","11140665","동화동","3621349","07","1602358000","556457000","29780000","126996000","212624000","9110000","38827000","25348000","139925000","58132000","405159000"
"20231","11200590","금호1가동","4010011","08","1327310000","398766000","20085000","22796000","255734000","6392000","222153000","30917000","96379000","53173000","220915000"
"20231","11200690","성수2가3동","3358391","07","14993369000","2620561000","1633634000","325296000","1671888000","1457545000","143172000","606675000","726765000","516516000","5291317000"
"20231","11215710","화양동","2470026","06","20832387000","2332615000","864820000","52544000","2965539000","960861000","211326000","2351891000","1224070000","667885000","9200836000"
"20231","11260600","중화1동","2518956","06","1487886000","614218000","22027000","45338000","266268000","58676000","80017000","8930000","82374000","81737000","228301000"
"20231","11260610","중화2동","2253552","05","4031510000","1193141000","55222000","84126000","730142000","57092000","34219000","198978000","391707000","132423000","1154460000"
"20231","11260680","신내1동","2780491","06","5400878000","1737161000","50611000","62467000","676361000","272617000","442639000","143265000","378836000","185198000","1451723000"
"20231","11290630","정릉2동","2934717","06","3664332000","1501071000","42486000","43986000","488213000","320171000","227794000","84900000","130174000","130622000","694915000"
"20231","11305545","송중동","2555447","06","8972375000","1494920000","280569000","428356000","2081528000","282182000","216709000","655185000","371874000","183879000","2977173000"
"20231","11320521","도봉1동","2275377","05","4235974000","1200253000","32353000","38327000","213246000","637454000","43605000","159536000","451694000","58855000","1400651000"
"20231","11320700","방학2동","2099146","05","2081551000","924219000","25177000","35940000","364375000","150319000","62982000","32850000","55803000","45432000","384454000"
"20231","11350700","상계8동","3153561","07","1547698000","497796000","53389000","7500000","262591000","2710000","223266000","12446000","177554000","21243000","289203000"
"20231","11380510","녹번동","3055864","07","5437920000","1426733000","34787000","82335000","910260000","509839000","248726000","128541000","228973000","144280000","1723446000"
"20231","11380570","대조동","2535013","06","7544287000","1718997000","174717000","162221000","2053651000","41447000","214108000","212986000","655135000","270143000","2040882000"
"20231","11380590","응암2동","3510245","07","1909999000","706687000","19892000","10363000","205086000","271054000","257071000","38209000","53557000","86311000","261769000"
"20231","11380650","수색동","3253972","07","926815000","192983000","14305000","165890000","76832000","250695000","31857000","8382000","35558000","16446000","133867000"
"20231","11410640","홍제3동","2807766","06","4259083000","1606379000","47480000","45582000","938308000","162407000","163691000","59413000","89897000","213767000","932159000"
"20231","11410655","홍제2동","3664523","07","1694164000","271559000","64725000","2939000","352285000","356523000","65537000","15379000","91753000","39179000","434285000"
"20231","11440565","공덕동","4047702","08","5539199000","1064340000","43457000","165894000","859574000","70074000","219506000","199080000","933281000","272057000","1711936000"
"20231","11440585","도화동","4217433","08","8626602000","838946000","60891000","236522000","1591579000","674464000","111820000","451123000","791514000","650158000","3219585000"
"20231","11440630","신수동","4157605","08","2676862000","653951000","17156000","30805000","753194000","71733000","133469000","53878000","173565000","52685000","736426000"
"20231","11440710","연남동","2980162","06","9469867000","1998677000","277188000","121157000","116632000","56690000","108150000","520166000","229994000","216140000","5825073000"
"20231","11470540","목4동","3426858","07","5047862000","2249030000","78200000","78035000","583114000","39981000","562774000","100508000","355030000","115061000","886129000"
"20231","11470550","목5동","5987821","09","12243005000","1938394000","90593000","34482000","4018476000","35325000","4119465000","29521000","418667000","192239000","1365843000"
"20231","11470630","신정2동","4725315","08","4141119000","1218641000","23620000","7262000","448398000","140142000","897481000","41344000","232711000","93347000","1038173000"
"20231","11470680","신정7동","4094404","08","4977135000","1420319000","27274000","11867000","1509801000","468060000","494808000","22433000","147809000","79901000","794863000"
"20231","11500603","가양1동","3560388","07","76167419000","3499323000","245072000","92911000","26111342000","12146538000","349621000","1334733000","10246543000","11325874000","10815462000"
"20231","11530740","개봉1동","2805757","06","4147778000","1616825000","69029000","109881000","592681000","254130000","124709000","94696000","184496000","217722000","883609000"
"20231","11545640","독산4동","2255044","05","2155926000","378862000","12808000","45438000","332882000","186527000","51523000","214859000","143502000","123003000","666522000"
"20231","11560585","도림동","3031484","07","2450181000","1156196000","15901000","19286000","124052000","114243000","120941000","39911000","153828000","78257000","627566000"
"20231","11560710","대림2동","2686240","06","4527968000","1295928000","198872000","17713000","426061000","9701000","21113000","257103000","215685000","233906000","1851886000"
"20231","11590530","상도1동","3875896","08","6938355000","2139736000","37814000","63668000","883385000","540327000","360547000","262265000","419639000","406381000","1824593000"
"20231","11620575","행운동","2889475","06","6359498000","2214648000","192999000","60847000","1247075000","26566000","289431000","212798000","348904000","239296000","1526934000"
"20231","11620645","서원동","2412001","05","12575381000","1646270000","844167000","148650000","2822527000","63533000","242952000","1113391000","927143000","549182000","4217566000"
"20231","11650581","반포4동","5280483","09","30628245000","2598026000","1558377000","140862000","12962915000","787412000","2588251000","205507000","1741222000","1545001000","6500672000"
"20231","11680545","압구정동","5808537","09","47220100000","2597535000","2769442000","359812000","13902718000","340528000","2153833000","1365400000","10976598000","2305045000","10449189000"
"20231","11680600","대치1동","7421305","10","11859510000","1383771000","19036000","2368000","2033315000","23423000","6332136000","65456000","381394000","462046000","1156565000"
"20231","11680656","도곡2동","6567504","09","51201251000","1700247000","200892000","156300000","686581000","289318000","418130000","159125000","44699373000","543709000","2347576000"
"20231","11680690","개포4동","3550527","07","3535605000","905489000","67031000","248324000","642305000","158511000","176230000","47715000","246719000","328323000","714958000"
"20231","11680700","세곡동","3885403","08","5656119000","1588747000","54639000","88871000","719191000","786913000","684494000","81232000","290703000","242007000","1119322000"
"20231","11710650","잠실본동","3079387","07","17669634000","3225361000","75952000","110120000","4103969000","1375465000","773501000","1087302000","1147720000","522418000","5247826000"
"20231","11740570","암사1동","2852157","06","6000044000","2767669000","102876000","67229000","732864000","341313000","177121000","174443000","144243000","185759000","1306527000"
"20231","11740640","성내1동","3438376","07","5783737000","1152328000","35163000","91826000","1585645000","509381000","199332000","87448000","465176000","276059000","1381379000"
"20231","11740685","길동","2840603","06","12618264000","3113786000","137532000","424225000","3617071000","175160000","265735000","653057000","888716000","315759000","3027223000"
"20231","11110515","청운효자동","3780222","08","2784933000","880544000","197642000","57935000","121901000","25568000","53711000","86449000","171279000","67694000","1122210000"
"20231","11110600","가회동","3479766","07","2690332000","573665000","394947000","912000","20770000","1102000","46426000","52137000","213270000","12670000","1374433000"
"20231","11110640","이화동","3024996","07","10622974000","1035923000","213685000","41488000","2776380000","30454000","2965305000","176154000","207416000","181317000","2994852000"
"20231","11110700","숭인1동","2868519","06","721593000","359578000","1263000","8033000","128735000","8139000","25309000","9880000","6529000","37826000","136301000"
"20231","11140550","명동","3733600","07","97150590000","2773448000","1164912000","3729748000","3451266000","6947890000","25488587000","381255000","11519841000","32553923000","9139720000"
"20231","11140605","을지로동","3082514","07","222143954000","1182326000","140433000","257637000","767346000","1189975000","70967000","923515000","213635420000","55992000","3920343000"
"20231","11170520","용산2가동","2540319","06","120795826000","119342097000","46155000","12851000","34069000","1461000","40929000","52827000","133967000","15026000","1116444000"
"20231","11170570","원효로2동","3817026","08","936852000","224607000","15236000","44877000","39902000","179250000","96411000","30930000","37143000","14495000","254001000"
"20231","11170640","이촌2동","3596083","07","444532000","181468000","21330000","1052000","8528000","146992000","17944000","4547000","1092000","1768000","59811000"
"20231","11170660","이태원2동","3261019","07","1883108000","421421000","199729000","49834000","59123000","57563000","15067000","106580000","179967000","52453000","741371000"
"20231","11200560","행당1동","3900841","08","7599633000","1091035000","216966000","157081000","1411890000","109320000","501659000","75675000","550623000","761963000","2723421000"
"20231","11200660","성수1가2동","3263294","07","8845679000","2357277000","323648000","69154000","684662000","416382000","159079000","238290000","409471000","388149000","3799567000"
"20231","11200720","송정동","2566462","06","810094000","238443000","23079000","30220000","94615000","211489000","8326000","14463000","76739000","12597000","100123000"
"20231","11215830","자양2동","2999213","07","3642193000","996438000","24414000","74500000","408633000","531209000","183426000","158802000","266484000","146356000","851931000"
"20231","11230545","제기동","2792227","06","9309460000","4685686000","304402000","127014000","1500249000","661517000","94408000","76314000","363932000","71987000","1423951000"
"20231","11230750","이문2동","3137841","07","1593725000","718252000","15488000","3399000","223465000","95282000","114216000","56685000","46332000","39747000","280859000"
"20231","11260520","면목2동","2322173","05","3156955000","616790000","50459000","293421000","643641000","772318000","65640000","53913000","67902000","83095000","509776000"
"20231","11260570","면목7동","2655671","06","4298179000","1761772000","72438000","30907000","753590000","22796000","123741000","146015000","205224000","293711000","887985000"
"20231","11260575","면목3?8동","2354962","05","4179904000","1222121000","74991000","51597000","502324000","15938000","83943000","401966000","255700000","239746000","1331578000"
"20231","11260590","상봉2동","2575432","06","10115205000","1737131000","209269000","63642000","1306708000","651364000","500721000","813135000","1024541000","567381000","3241313000"
"20231","11290725","월곡2동","3138026","07","5615747000","1645869000","99281000","38503000","778244000","583347000","122662000","153612000","453788000","219485000","1520956000"
"20231","11305660","인수동","2359990","05","2593665000","1173245000","39463000","32875000","235316000","186123000","99653000","49875000","90795000","75971000","610349000"
"20231","11320513","창3동","2229423","05","1260605000","383076000","36910000","12232000","159591000","17555000","18433000","70249000","85621000","62155000","414783000"
"20231","11320660","쌍문1동","2440535","05","1689449000","691985000","20352000","50506000","124214000","118895000","45950000","21556000","161282000","49269000","405440000"
"20231","11320670","쌍문2동","2430154","05","4317656000","843011000","86976000","367915000","428633000","573088000","165531000","103345000","343611000","278863000","1126683000"
"20231","11320710","방학3동","2962092","06","1915929000","507169000","18229000","4326000","293909000","11186000","122221000","36992000","145141000","128678000","648078000"
"20231","11350595","공릉1동","2786137","06","12204975000","3214534000","137580000","196831000","2596693000","1240500000","189257000","312166000","740724000","449542000","3127148000"
"20231","11350619","중계본동","4197248","08","6315050000","1840669000","46464000","1831000","550413000","344407000","1994866000","52267000","367476000","236896000","879761000"
"20231","11350621","중계1동","4623227","08","4580818000","724958000","56281000","95617000","392485000","56398000","1918993000","8267000","361037000","82551000","884231000"
"20231","11350630","상계1동","3030316","07","8540153000","2747842000","86907000","185852000","773682000","357182000","248407000","261653000","395336000","343833000","3139459000"
"20231","11350695","상계6?7동","3152836","07","14195319000","1527212000","230263000","121161000","6765770000","10548000","1102959000","481207000","1076862000","967877000","1911460000"
"20231","11380530","불광2동","2396457","05","4587580000","1606797000","91615000","115267000","778405000","449297000","150512000","62139000","221301000","131637000","980610000"
"20231","11440680","합정동","3195027","07","10247709000","1921512000","396446000","362617000","837868000","111338000","110269000","578640000","754142000","570606000","4604271000"
"20231","11470510","목1동","5667672","09","25944872000","3834808000","157084000","144909000","5073887000","79477000","3004625000","426712000","6805692000","1661605000","4756073000"
"20231","11500510","염창동","4127504","08","6230506000","1481124000","73247000","310245000","596847000","568023000","647251000","104529000","648938000","440529000","1359773000"
"20231","11500520","등촌1동","3322838","07","17984837000","1046270000","85862000","165414000","1233577000","5086697000","164684000","184030000","8146809000","240468000","1631026000"
"20231","11500590","화곡본동","2398795","05","6467568000","2122039000","93423000","57125000","1098931000","975275000","263024000","180576000","220066000","158932000","1298177000"
"20231","11500605","가양3동","3047051","07","483912000","211282000","2417000","32366000","42374000","7747000","25250000","2204000","49121000","29971000","81180000"
"20231","11500620","공항동","2896818","06","27771266000","1719216000","103149000","206982000","1274288000","14042151000","179411000","170379000","8043178000","154125000","1878387000"
"20231","11530540","구로3동","2888444","06","1266468172000","2235436000","471687000","191666000","4302292000","461494000","787629000","999001000","1250702642000","477763000","5838562000"
"20231","11530800","항동","3007261","07","1159043000","330176000","10407000","1533000","128414000","257137000","172635000","2173000","23488000","28135000","204945000"
"20231","11560515","영등포본동","3286751","07","3750910000","1503414000","85113000","36068000","411894000","282463000","133063000","76466000","226968000","120022000","875439000"
"20231","11560550","당산1동","3536432","07","6327248000","1365882000","51536000","80611000","744197000","288022000","130614000","322050000","569802000","461826000","2312708000"
"20231","11560560","당산2동","4130932","08","9647055000","1824195000","94713000","29209000","1458164000","115841000","391133000","422102000","546264000","1727785000","3037649000"
"20231","11560690","신길7동","3616070","07","2506749000","821658000","8288000","16218000","215397000","183193000","158973000","15908000","549235000","104792000","433087000"
"20231","11590510","노량진1동","3583099","07","7033382000","2111906000","44448000","74857000","453803000","36473000","932282000","393121000","481540000","305934000","2199018000"
"20231","11590660","대방동","3524765","07","6884247000","1649163000","147915000","1094000","827493000","423494000","691205000","169195000","1233440000","336397000","1404851000"
"20231","11620765","미성동","2676537","06","4042642000","1055288000","256953000","82540000","641274000","335561000","216256000","204663000","222238000","206996000","820873000"
"20231","11650510","서초1동","4769119","08","9940651000","1542123000","426242000","101925000","2374867000","690352000","976915000","166562000","900920000","410433000","2350312000"
